X,dXdt,Phi,Temp_K,,,,
0.95903601,2.1293109E+02,5.000000 ,544.220636,,,,
0.95960865,2.1127547E+02,5.000000 ,544.000623,,,,
0.96017609,2.0878246E+02,5.000000 ,543.770604,,,,
0.96073506,2.0522119E+02,5.000000 ,543.550576,,,,
0.96128241,1.9999889E+02,5.000000 ,543.320537,,,,
0.96181524,1.9473136E+02,5.000000 ,543.100497,,,,
0.96233434,1.8979636E+02,5.000000 ,542.88046,,,,
0.96284081,1.8553625E+02,5.000000 ,542.650427,,,,
0.96333649,1.8146800E+02,5.000000 ,542.430396,,,,
0.96382376,1.8006981E+02,5.000000 ,542.200385,,,,
0.96430899,1.7922120E+02,5.000000 ,541.970378,,,,
0.96479136,1.7811235E+02,5.000000 ,541.750369,,,,
0.96527015,1.7646868E+02,5.000000 ,541.520356,,,,
0.96574433,1.7482704E+02,5.000000 ,541.300343,,,,
0.96621403,1.7302569E+02,5.000000 ,541.080329,,,,
0.96667848,1.7113717E+02,5.000000 ,540.850314,,,,
0.96713834,1.6943803E+02,5.000000 ,540.6303,,,,
0.96759402,1.6805112E+02,5.000000 ,540.400289,,,,
0.96804566,1.6654068E+02,5.000000 ,540.170277,,,,
0.96849352,1.6503232E+02,5.000000 ,539.950265,,,,
0.96893626,1.6281699E+02,5.000000 ,539.720248,,,,
0.96937173,1.5981761E+02,5.000000 ,539.500225,,,,
0.96979974,1.5734252E+02,5.000000 ,539.270206,,,,
0.97022217,1.5576617E+02,5.000000 ,539.050193,,,,
0.97064089,1.5441562E+02,5.000000 ,538.820182,,,,
0.97105656,1.5343804E+02,5.000000 ,538.600174,,,,
0.97146913,1.5204047E+02,5.000000 ,538.370163,,,,
0.9718771,1.5010908E+02,5.000000 ,538.150148,,,,
0.97228008,1.4824093E+02,5.000000 ,537.920133,,,,
0.97267762,1.4622569E+02,5.000000 ,537.700118,,,,
0.97306949,1.4424891E+02,5.000000 ,537.470102,,,,
0.97345684,1.4258543E+02,5.000000 ,537.250089,,,,
0.97383876,1.4017616E+02,5.000000 ,537.02007,,,,
0.97421351,1.3744649E+02,5.000000 ,536.80005,,,,
0.97458141,1.3511528E+02,5.000000 ,536.570032,,,,
0.97494349,1.3319774E+02,5.000000 ,536.350016,,,,
0.97530178,1.3234858E+02,5.000000 ,536.120009,,,,
0.97565833,1.3185976E+02,5.000000 ,535.900005,,,,
0.97601343,1.3119915E+02,5.000000 ,535.669999,,,,
0.97636677,1.3056425E+02,5.000000 ,535.449994,,,,
0.97671801,1.2948448E+02,5.000000 ,535.219985,,,,
0.97706491,1.2745000E+02,5.000000 ,534.999969,,,,
0.97740614,1.2536624E+02,5.000000 ,534.769953,,,,
0.9777421,1.2343459E+02,5.000000 ,534.549938,,,,
0.97807299,1.2182703E+02,5.000000 ,534.319925,,,,
0.97839989,1.2004648E+02,5.000000 ,534.099911,,,,
0.97872031,1.1740000E+02,5.000000 ,533.869891,,,,
0.97903443,1.1533684E+02,5.000000 ,533.649875,,,,
0.97934415,1.1404477E+02,5.000000 ,533.419864,,,,
0.9796499,1.1246925E+02,5.000000 ,533.199852,,,,
0.97995097,1.1032368E+02,5.000000 ,532.969835,,,,
0.98024538,1.0768449E+02,5.000000 ,532.749815,,,,
0.98053175,1.0442837E+02,5.000000 ,532.52979,,,,
0.98081038,1.0230019E+02,5.000000 ,532.299774,,,,
0.98108467,1.0098015E+02,5.000000 ,532.079763,,,,
0.98135603,1.0021780E+02,5.000000 ,531.849757,,,,
0.9816263,9.9983981E+01,5.000000 ,531.619754,,,,
0.98189553,9.9514547E+01,5.000000 ,531.39975,,,,
0.98216484,9.9939157E+01,5.000000 ,531.169752,,,,
0.98243426,9.9551512E+01,5.000000 ,530.949749,,,,
0.9827021,9.8708680E+01,5.000000 ,530.719742,,,,
0.98296591,9.6400205E+01,5.000000 ,530.499724,,,,
0.98322193,9.3177631E+01,5.000000 ,530.279699,,,,
0.98346957,9.0464847E+01,5.000000 ,530.049679,,,,
0.98371119,8.8525467E+01,5.000000 ,529.829664,,,,
0.9839493,8.7924744E+01,5.000000 ,529.599658,,,,
0.98418575,8.7435429E+01,5.000000 ,529.369654,,,,
0.98442154,8.7220325E+01,5.000000 ,529.149652,,,,
0.98465681,8.7116394E+01,5.000000 ,528.91965,,,,
0.98489263,8.7693092E+01,5.000000 ,528.699653,,,,
0.98513025,8.8233625E+01,5.000000 ,528.469657,,,,
0.98536864,8.8268615E+01,5.000000 ,528.249656,,,,
0.98560714,8.8435561E+01,5.000000 ,528.019657,,,,
0.98584604,8.8464292E+01,5.000000 ,527.799656,,,,
0.98608434,8.7953616E+01,5.000000 ,527.569652,,,,
0.98632064,8.6898989E+01,5.000000 ,527.349643,,,,
0.98655213,8.4395754E+01,5.000000 ,527.119624,,,,
0.98677624,8.1423852E+01,5.000000 ,526.899601,,,,
0.98699267,7.9133910E+01,5.000000 ,526.669583,,,,
0.98720418,7.7398941E+01,5.000000 ,526.44957,,,,
0.98741137,7.6500051E+01,5.000000 ,526.219563,,,,
0.98761664,7.5305588E+01,5.000000 ,525.999553,,,,
0.98781767,7.3829403E+01,5.000000 ,525.769542,,,,
0.9880126,7.0132980E+01,5.000000 ,525.549514,,,,
0.98819808,6.7688263E+01,5.000000 ,525.329495,,,,
0.98837761,6.5179894E+01,5.000000 ,525.109476,,,,
0.98855122,6.4363967E+01,5.000000 ,524.879469,,,,
0.98872911,6.7437903E+01,5.000000 ,524.649491,,,,
0.98891436,6.9637082E+01,5.000000 ,524.419506,,,,
0.98910473,7.1366413E+01,5.000000 ,524.199518,,,,
0.98930006,7.3375442E+01,5.000000 ,523.969532,,,,
0.98950006,7.4532153E+01,5.000000 ,523.74954,,,,
0.98970182,7.4644345E+01,5.000000 ,523.519541,,,,
0.98990055,7.2206250E+01,5.000000 ,523.299522,,,,
0.99009122,6.8872196E+01,5.000000 ,523.069497,,,,
0.99027221,6.5180552E+01,5.000000 ,522.849469,,,,
0.99044349,6.1793943E+01,5.000000 ,522.619443,,,,
0.99060673,5.9121192E+01,5.000000 ,522.399422,,,,
0.99076352,5.7165651E+01,5.000000 ,522.179407,,,,
0.99091609,5.6307195E+01,5.000000 ,521.9494,,,,
0.99106825,5.6311846E+01,5.000000 ,521.7294,,,,
0.99122028,5.6403912E+01,5.000000 ,521.4994,,,,
0.99137311,5.6828358E+01,5.000000 ,521.269402,,,,
0.99152728,5.7400921E+01,5.000000 ,521.049406,,,,
0.99168268,5.7641771E+01,5.000000 ,520.819407,,,,
0.99183826,5.7491001E+01,5.000000 ,520.599405,,,,
0.99199276,5.6836415E+01,5.000000 ,520.3694,,,,
0.99214508,5.5874044E+01,5.000000 ,520.149392,,,,
0.99229455,5.4914502E+01,5.000000 ,519.929384,,,,
0.99244139,5.3882288E+01,5.000000 ,519.699376,,,,
0.99258554,5.2962106E+01,5.000000 ,519.469368,,,,
0.99272696,5.1758935E+01,5.000000 ,519.249359,,,,
0.99286489,5.0454196E+01,5.000000 ,519.019348,,,,
0.99299969,4.9492554E+01,5.000000 ,518.799341,,,,
0.9931327,4.9149752E+01,5.000000 ,518.569338,,,,
0.99326566,4.9240577E+01,5.000000 ,518.349338,,,,
0.99339806,4.8917040E+01,5.000000 ,518.119335,,,,
0.99352979,4.8599168E+01,5.000000 ,517.899332,,,,
0.99365945,4.7367494E+01,5.000000 ,517.669322,,,,
0.99378536,4.5868132E+01,5.000000 ,517.44931,,,,
0.99390698,4.4161387E+01,5.000000 ,517.219297,,,,
0.99402331,4.2036475E+01,5.000000 ,516.999281,,,,
0.99413474,4.0600191E+01,5.000000 ,516.779269,,,,
0.99424239,3.9290512E+01,5.000000 ,516.549259,,,,
0.99434731,3.8508155E+01,5.000000 ,516.319253,,,,
0.99445136,3.8647517E+01,5.000000 ,516.099253,,,,
0.99455621,3.9045541E+01,5.000000 ,515.869256,,,,
0.99466235,3.9578531E+01,5.000000 ,515.649259,,,,
0.99476968,3.9966304E+01,5.000000 ,515.419261,,,,
0.99487835,4.0548749E+01,5.000000 ,515.199265,,,,
