X,dXdt,Phi,Temp_K,,,,
0.26333239,8.4144730E+03,5.000000 ,575.683086,,,,
0.27865551,8.6056928E+03,5.000000 ,575.533551,,,,
0.29430041,8.7687072E+03,5.000000 ,575.383946,,,,
0.31020718,8.9021499E+03,5.000000 ,575.234269,,,,
0.3263307,9.0101999E+03,5.000000 ,575.084528,,,,
0.34262144,9.0846526E+03,5.000000 ,574.934704,,,,
0.35901604,9.1241792E+03,5.000000 ,574.784795,,,,
0.37545825,9.1385427E+03,5.000000 ,574.634822,,,,
0.39191176,9.1400642E+03,5.000000 ,574.484819,,,,
0.40835344,9.1218203E+03,5.000000 ,574.334766,,,,
0.42473836,9.0778636E+03,5.000000 ,574.18465,,,,
0.44102734,9.0203456E+03,5.000000 ,574.0345,,,,
0.45720756,8.9564703E+03,5.000000 ,573.884335,,,,
0.47326641,8.8836640E+03,5.000000 ,573.734148,,,,
0.48917345,8.7875084E+03,5.000000 ,573.583903,,,,
0.50489018,8.6758629E+03,5.000000 ,573.433619,,,,
0.52039621,8.5527980E+03,5.000000 ,573.283307,,,,
0.5356789,8.4275432E+03,5.000000 ,573.13299,,,,
0.55073296,8.2989973E+03,5.000000 ,572.982665,,,,
0.56555129,8.1657179E+03,5.000000 ,572.832328,,,,
0.58012915,8.0316568E+03,5.000000 ,572.681989,,,,
0.59446559,7.8969014E+03,5.000000 ,572.531649,,,,
0.60855643,7.7590502E+03,5.000000 ,572.381301,,,,
0.62239885,7.6213405E+03,5.000000 ,572.230954,,,,
0.63598803,7.4756907E+03,5.000000 ,572.080586,,,,
0.64930743,7.3228325E+03,5.000000 ,571.930201,,,,
0.66234926,7.1685220E+03,5.000000 ,571.779813,,,,
0.67511477,7.0142071E+03,5.000000 ,571.629424,,,,
0.68759735,6.8550493E+03,5.000000 ,571.479023,,,,
0.69979086,6.6935219E+03,5.000000 ,571.328617,,,,
0.7116952,6.5328678E+03,5.000000 ,571.178213,,,,
0.72330507,6.3662810E+03,5.000000 ,571.027794,,,,
0.734612,6.1966406E+03,5.000000 ,570.877368,,,,
0.74561271,6.0260882E+03,5.000000 ,570.726939,,,,
0.75630532,5.8544666E+03,5.000000 ,570.576508,,,,
0.76668916,5.6828361E+03,5.000000 ,570.426077,,,,
0.77676266,5.5096165E+03,5.000000 ,570.275642,,,,
0.78652405,5.3364385E+03,5.000000 ,570.125207,,,,
0.79597403,5.1635276E+03,5.000000 ,569.974773,,,,
0.80511323,4.9913766E+03,5.000000 ,569.82434,,,,
0.81394307,4.8196823E+03,5.000000 ,569.673909,,,,
0.82246427,4.6483709E+03,5.000000 ,569.523479,,,,
0.83067823,4.4784659E+03,5.000000 ,569.373052,,,,
0.83858792,4.3103520E+03,5.000000 ,569.22263,,,,
0.8461961,4.1432347E+03,5.000000 ,569.07221,,,,
0.85350402,3.9768665E+03,5.000000 ,568.921792,,,,
0.8605144,3.8140603E+03,5.000000 ,568.761383,,,,
0.86723701,3.6560865E+03,5.000000 ,568.610985,,,,
0.87367549,3.4973170E+03,5.000000 ,568.460586,,,,
0.87982725,3.3380075E+03,5.000000 ,568.310186,,,,
0.88569266,3.1793910E+03,5.000000 ,568.169787,,,,
0.89127478,3.0233444E+03,5.000000 ,568.019395,,,,
0.89657782,2.8690040E+03,5.000000 ,567.869007,,,,
0.90160191,2.7130434E+03,5.000000 ,567.718615,,,,
0.90634639,2.5595304E+03,5.000000 ,567.568229,,,,
0.91081862,2.4107202E+03,5.000000 ,567.417855,,,,
0.915029,2.2675754E+03,5.000000 ,567.267494,,,,
0.91898764,2.1320344E+03,5.000000 ,567.107153,,,,
0.92270504,1.9981967E+03,5.000000 ,566.956815,,,,
0.92618547,1.8731558E+03,5.000000 ,566.8065,,,,
0.92945522,1.7599802E+03,5.000000 ,566.666214,,,,
0.93252272,1.6485722E+03,5.000000 ,566.515932,,,,
0.93539391,1.5425325E+03,5.000000 ,566.365664,,,,
